date	content
2023-02-09 07:12:43+00:00	Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     
2023-02-09 07:18:48+00:00	      Ajah  towards Landmark is good but busy moving towards Northwest,  Northwest connecting Ikota, 2nd toll plaza is   good   Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush,
2023-02-09 07:18:49+00:00	Jakande towards chisco and Ikate is getting busy   Connecting Marwa from Ikate is good Marwa back to Ajah proper is good      
2023-02-09 07:29:07+00:00	      Vehicular movement from Ago junction inward Cele is okay  Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele.
2023-02-09 07:29:08+00:00	The return journey back to Cele is good  Movement from Cele inward Ago roundabout is busy due to alternation at the junction.  Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.
2023-02-09 07:29:08+00:00	Movement from Ago roundabout inward pako/chemist is good  Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush.
2023-02-09 07:29:09+00:00	Connecting Aye inward limca, Laspotech, Daleko is good to go  Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane.      
2023-02-09 07:52:10+00:00	       Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg,  Emmanuel to Nitel, Total is slow  but the return journey back to Abattoir is good to go.   Total inward Oke koto is good  but slow approaching Oke koto.
2023-02-09 07:52:11+00:00	Oke koto inward Sofunde down to agbotikuyo enroute Alagba  is good, return journey frm Alagba inw Oke koto is gd,   Sofunde inwd oke koto is slow  Oke koto inward Oniwaya is good to go likewise the return journey back to Oke koto,    Oke koto to Oba ogunji inward Odo eran is slow
2023-02-09 07:52:12+00:00	Odo eran to Wemco inw Metal box is slow but the return journey back to Pen cinema is gd.   Odo eran inward Marketing is good to go likewise return journey.  Marketing inward Stadium to Maternity inward Balogun Pencinema is good to go.
2023-02-09 07:52:13+00:00	Marketing inward Akilo to Ascon junction inward Acme down to Fumec is good to go.   Return journey from Fumec to Metal box is good to go likewise Wemco junction down to Odo eran  Mobile Asade inw Akani Doherty is slow at the moment.
2023-02-09 07:52:13+00:00	Akani Doherty to Dangote U-turn is steady likewise the return journey.  Guinness junction inward Mangoro Asade is good,  Capitol inward Oniwaya is good to go  The return journey frm oniwaya is gtg but a bit busy around Mobile ashade axis.       
2023-02-09 07:59:50+00:00	        Vehicular movement from Dolphin inward Osbourne road is on the high side while manual control is in progress at foreshore intersection.  Alfred Rewane stretch is  busy due to alternation at Bayo Kuku, Golden gate and NNPC intersections
2023-02-09 07:59:51+00:00	Gerrard, Alexander road is okay but slow approaching Alexander roundabout due influx moving inward Ikoyi Lekki link bridge.   Onikan roundabout is busy but better connecting Awolowo road  Movement from Okotie Eboh inward Falomo roundabout is busy due to early morning rush.
2023-02-09 07:59:52+00:00	Obalende Ubridge is busy due to early morning rush coupled with commercial activities.      
2023-02-09 09:43:16+00:00	     A broken down loaded Tanker on McWen bridge inward Bonny Camp with effect on traffic movement for now. Process is on for removal while Officers are on ground doing the needful.     
2023-02-09 10:04:03+00:00	     A broken down Truck at Orile on the service lane inward Mile2 with no effect on traffic movement.  Effort is on for recovery and removal.     
2023-02-09 10:06:34+00:00	        The earlier reported broken down loaded Tanker on McWen Bridge inw Bonny Camp has been moved off the road.   Traffic is better now even as Men are strategically located.         
2023-02-09 12:21:38+00:00	     Busy movement from Otedola to Kara. Return journey from Kara back to Otedola is good. Good movement on Oba Ogunnusi road from River Valley inward Omole junction to connect Agidingbi. Inward Excellence, Ogba, Odoeran is also good. 
2023-02-09 12:21:39+00:00	Return journey from Odoeran back to Omole is good aside alternation. Slight delays approaching Hotel b/stop due to fuel queue at NNPC Filling station. Better movement inward Grammar School.
2023-02-09 12:21:40+00:00	Slight delay at VIS corridor due to massive turning and fuel queues. Better movement inward Isheri Olowora.    
2023-02-09 14:07:38+00:00	     Better movement from New Garage inw Ojodu Berger down to Ojota bridge.  Ojota bridge inw China Town, Alapere, Ogudu, Ifako, Iyana Oworo all in good shape.      
2023-02-09 14:07:39+00:00	It is also good ascending 3MB through Adeniji,  Olowu, Simpson bridge, Obalende bridge inw Onikan bridge down to CMS bridge is good.  The return journey is encouraging but slow approaching Ogudu down to NNPC due to fuel queue.       
2023-02-09 14:07:40+00:00	Exiting NNPC is good inw Alapere, Motorways but slow approaching Tollgate turning due to massive turning of motorists. Good movement immediately after Toll gate turning inw Otedola Bridge enroute New Garage.         
2023-02-09 14:46:38+00:00	     The stretch of Osolo Way from Aiye to Mechanic village link bridge is good.  Seriki Abass to Asa Afariogun intersection where alternations is on is good.       
2023-02-09 14:46:39+00:00	Airport Road to NAHCO back to Apakun link bridge to Oshodi and Apapa/Oshodi Expressway both the main carriage way and the service lane is good.       
2023-02-09 14:46:40+00:00	DHL to 5 star enroute Aswani Road by Emzor to connect Osolo Way by Aswani junction is good. Airport Road by service lane inward Ajao gate to Lateef Salami is gathering momentum to Jesus house where traffic light alternation is on.      
2023-02-09 14:46:41+00:00	Robinson Gbagi down to Ajibade Babatola is slow down to navigate Canoe proper.  Mubostic inward Canoe to Chivita to link Lukman Atobajeun down to Swimming pool junction is slow.       
2023-02-09 15:35:00+00:00	    High influx from PWD inward Airport turning towards Airport bus stop. Meanwhile movement from Airport bus stop inward National, Ikeja Along towards Ajayi Farm is also busy.       
2023-02-09 15:35:00+00:00	Ajayi Farm inward Ile Zik enroute Mangoro and Cement is good towards Dopemu under bridge. Return journey from Dopemu ubridge inw Cement, Mangoro and IleZik is good at the moment and men still sighted doing the needful.        
2023-02-09 15:44:51+00:00	     Good movement from NITEL inward Total for now, return journey from Total to Abattoir is good. Total inward Isokoko connecting National Mangoro is good so also is the return journey.      
2023-02-09 15:44:52+00:00	Total inward Okekoto is good. The return journey from Okekoto inward Total is also good. Okekoto inward Shofunde is good likewise the return journey. Okekoto inward and outward Oniwaya is good.      
2023-02-09 15:44:53+00:00	Dopemu inward Oniwaya is good. Capitol Road connecting National Mangoro Ashade is good. Akanni Doherthy Road connecting Guinness is good; the return journey is also good.      
2023-02-09 15:44:54+00:00	Dangote u-turn inward Ikeja on Oba Akran is moving steadily. The return journey back to Mobil Ashade is a moving traffic. Mobil Ashade inward Moshalasi Alhaja  connecting PenCinema ubridge is good in and out.      
2023-02-09 15:44:55+00:00	Mobil Ashade inward Akilo Road connecting Marketing is good. Marketing inward Odo Eran is good. Marketing inward and outward Stadium Road connecting Maternity is steady. Odo Eran inward Pen Cinema bridge is good.      
2023-02-09 15:46:22+00:00	The return journey from Oba Ogunji inward Odo Eran is also good. Odo Eran inward Chemiron junction, Metalbox Road connecting Acme is good. Acme road inward First gate through Funmec is steady movement.        
2023-02-09 16:34:29+00:00	     Vehicular movement from Idiroko through the service lane inw Maryland intersection is busy due to traffic light delay.       
2023-02-09 16:34:29+00:00	Moving further inw Onigbongbo through Cantonment is ok but slow towards Leventis down to Total filling station due to fuel queue.       
2023-02-09 16:34:30+00:00	Better movement exiting Total filling station inward Abule Onigbagbo all through to General hospital UBridge aside traffic light delay.       
2023-02-09 16:34:31+00:00	It is a good one for those ascending and descending General hospital bridge enroute Local Airport.  The return journey is also good but slow for those connecting General hospital UBridge due to traffic light alternation.       
2023-02-09 16:34:32+00:00	General hospital UBridge inw Oba Akinjobi Way is ok while the outward journey is slow.  General hospital UBridge is slow inw Kodesoh. Ikeja UBridge is free aside commercial buses activities coupled traffic light delays.      
2023-02-09 16:34:59+00:00	Ascending and descending Ikeja bridge is ok but busy approaching AP b/stop down to Mobil Ashade due to high influx.  The return journey from Mobil Ashade Inw Akanni Doherty junction is busy. It is also slow towards Dangote U-Turn.       
2023-02-09 16:34:59+00:00	Beyond Dangote U-Turn is good down to Ikeja Under bridge and likewise those ascending and descending Ikeja bridge.  Slow movement towards Kodesoh inw General hospital UBridge.         
